filename,source_file,label,area_piksel,width,height
normal_001_biji1.jpg,normal_001,sehat,275.0,29,22
normal_001_biji2.jpg,normal_001,sehat,486.5,42,33
normal_002_biji1.jpg,normal_002,sehat,296.0,27,27
normal_002_biji2.jpg,normal_002,sehat,226.0,28,21
normal_002_biji3.jpg,normal_002,sehat,246.5,30,21
normal_002_biji4.jpg,normal_002,sehat,230.5,24,27
normal_003_biji1.jpg,normal_003,sehat,185.0,20,25
normal_004_biji1.jpg,normal_004,sehat,221.0,22,25
normal_004_biji2.jpg,normal_004,sehat,192.0,21,26
normal_004_biji3.jpg,normal_004,sehat,178.0,24,19
normal_004_biji4.jpg,normal_004,sehat,106.0,18,19
normal_004_biji5.jpg,normal_004,sehat,231.5,24,25
normal_005_biji1.jpg,normal_005,sehat,144.0,20,22
normal_005_biji2.jpg,normal_005,sehat,311.0,25,31
normal_005_biji3.jpg,normal_005,sehat,255.0,23,28
normal_006_biji1.jpg,normal_006,sehat,207.5,27,22
normal_007_biji1.jpg,normal_007,sehat,186.5,23,24
normal_008_biji1.jpg,normal_008,sehat,190.0,24,22
normal_009_biji1.jpg,normal_009,sehat,272.5,28,26
normal_010_biji1.jpg,normal_010,sehat,180.0,25,21
normal_011_biji1.jpg,normal_011,sehat,220.5,22,25
normal_012_biji1.jpg,normal_012,sehat,191.5,22,24
normal_013_biji1.jpg,normal_013,sehat,158.0,23,21
normal_014_biji1.jpg,normal_014,sehat,352.0,28,29
normal_015_biji1.jpg,normal_015,sehat,289.0,27,28
normal_016_biji1.jpg,normal_016,sehat,327.0,28,28
normal_017_biji1.jpg,normal_017,sehat,304.0,32,27
normal_018_biji1.jpg,normal_018,sehat,238.5,26,23
normal_019_biji1.jpg,normal_019,sehat,262.0,27,23
normal_020_biji1.jpg,normal_020,sehat,303.0,29,25
normal_021_biji1.jpg,normal_021,sehat,339.5,28,27
normal_022_biji1.jpg,normal_022,sehat,222.5,27,22
normal_023_biji1.jpg,normal_023,sehat,194.5,22,23
normal_024_biji1.jpg,normal_024,sehat,227.0,26,21
normal_025_biji1.jpg,normal_025,sehat,305.0,26,28
normal_026_biji1.jpg,normal_026,sehat,285.0,26,27
normal_026_biji2.jpg,normal_026,sehat,101.5,18,21
normal_027_biji1.jpg,normal_027,sehat,247.5,25,27
normal_028_biji1.jpg,normal_028,sehat,263.0,27,25
normal_029_biji1.jpg,normal_029,sehat,223.0,26,23
normal_030_biji1.jpg,normal_030,sehat,321.0,27,29
virus_001_biji1.jpg,virus_001,terkontaminasi,286.5,25,27
virus_002_biji1.jpg,virus_002,terkontaminasi,234.0,27,24
virus_003_biji1.jpg,virus_003,terkontaminasi,337.5,28,29
virus_004_biji1.jpg,virus_004,terkontaminasi,344.5,27,31
virus_005_biji1.jpg,virus_005,terkontaminasi,400.5,33,28
virus_006_biji1.jpg,virus_006,terkontaminasi,300.0,32,22
virus_007_biji1.jpg,virus_007,terkontaminasi,311.0,28,26
virus_008_biji1.jpg,virus_008,terkontaminasi,297.5,26,27
virus_009_biji1.jpg,virus_009,terkontaminasi,326.5,28,28
virus_010_biji1.jpg,virus_010,terkontaminasi,109.0,26,12
virus_010_biji2.jpg,virus_010,terkontaminasi,345.0,28,30
virus_011_biji1.jpg,virus_011,terkontaminasi,321.5,31,25
virus_012_biji1.jpg,virus_012,terkontaminasi,270.0,25,27
virus_013_biji1.jpg,virus_013,terkontaminasi,360.0,29,28
virus_014_biji1.jpg,virus_014,terkontaminasi,245.5,21,27
virus_015_biji1.jpg,virus_015,terkontaminasi,236.0,23,26
virus_016_biji1.jpg,virus_016,terkontaminasi,335.5,27,31
virus_017_biji1.jpg,virus_017,terkontaminasi,330.0,27,28
virus_018_biji1.jpg,virus_018,terkontaminasi,306.0,30,25
virus_019_biji1.jpg,virus_019,terkontaminasi,234.5,27,22
virus_020_biji1.jpg,virus_020,terkontaminasi,361.0,25,31
virus_021_biji1.jpg,virus_021,terkontaminasi,386.5,28,34
virus_022_biji1.jpg,virus_022,terkontaminasi,164.5,24,21
virus_023_biji1.jpg,virus_023,terkontaminasi,358.5,28,30
virus_024_biji1.jpg,virus_024,terkontaminasi,243.0,23,27
virus_025_biji1.jpg,virus_025,terkontaminasi,309.5,27,29
virus_026_biji1.jpg,virus_026,terkontaminasi,307.5,26,29
virus_027_biji1.jpg,virus_027,terkontaminasi,264.5,27,25
virus_028_biji1.jpg,virus_028,terkontaminasi,358.0,30,27
virus_029_biji1.jpg,virus_029,terkontaminasi,278.5,25,29
virus_030_biji1.jpg,virus_030,terkontaminasi,589.0,44,37
virus_030_biji2.jpg,virus_030,terkontaminasi,242.5,24,25
virus_031_biji1.jpg,virus_031,terkontaminasi,300.0,26,27
virus_032_biji1.jpg,virus_032,terkontaminasi,322.5,26,31
virus_033_biji1.jpg,virus_033,terkontaminasi,353.5,29,29
virus_034_biji1.jpg,virus_034,terkontaminasi,293.5,28,28
virus_035_biji1.jpg,virus_035,terkontaminasi,342.5,33,26
virus_036_biji1.jpg,virus_036,terkontaminasi,229.5,25,24
virus_037_biji1.jpg,virus_037,terkontaminasi,333.5,30,25
virus_038_biji1.jpg,virus_038,terkontaminasi,265.5,25,26
virus_039_biji1.jpg,virus_039,terkontaminasi,376.5,29,29
virus_040_biji1.jpg,virus_040,terkontaminasi,285.0,30,22
